Module_Title,Module_Department,Module_Cluster,Aim,Icon,Color
Network Theory Fundamentals,Computing and Mathematics,Computing and Mathematics,"This module will introduce students to the principles of graph/network models and information theory. The module will focus on the practical application of the fundamental concepts to problems in computing, such as, resource allocation, planning, optimization problems, and software testing.",ph:app-window-bold,4FC3F7
Programming Fundamentals 2,Computing and Mathematics,Computing and Mathematics,"The purpose of this module is to further develop the thought processes, problem solving techniques and programming structures essential for developing larger systems responsible for more complex tasks. The module will focus on developing maintainable, robust, persistent applications that are consistent with user interaction (UI) best practice.",ph:graduation-cap-bold,78909C
Database Systems,Computing and Mathematics,Computing and Mathematics,"This module concentrates on the physical design and implementation of a database. Database Management concepts are also examined such as Transaction Management, Concurrency Control and Recovery. Students will be provided with the knowledge and skills to administer and manage a commercial database.",ph:book-bold,607D8B
Introduction to Computer Security,Computing and Mathematics,Computing and Mathematics,"This module will provide an introduction to computer security. The emphasis is on the fundamentals of security, including the nature of security threats and attack methods. It will also include the services that can be put in place to address these threats. Cryptographic techniques, that underpin many security mechanisms, are also covered. This module will introduce the student to the foundations of modern cryptography, with a focus on practical applications. The importance of security policy and procedures will also be explained.",mdi:desktop-classic,1E88E5
Networks Infrastructure,Computing and Mathematics,Computing and Mathematics,This module will build on the students basic Computer Networks knowledge. This module will provide a student with an understanding of Routing and Switching and other essential services in the operation and management of a networking infrastructure. The practical element will cover the configuration and management of these services.,mdi:lan,81D4FA
Operating Systems,Computing and Mathematics,Computing and Mathematics,"The student will explore in detail modern operating systems in the areas of file systems, memory management, and process management. This module will introduce the student to the concepts and practical application of administering and troubleshooting modern operating systems with a strong emphasis on shell scripting.",mdi:memory,FFB74D
Professional Practice,Computing and Mathematics,Computing and Mathematics,The aim of this module is to prepare and encourage students to capitalize on the learning potential of their flexible semester experience and enhance their industry awareness. The module will focus on developing students' transferable skills and encouraging professional awareness and practice.,ph:user-gear-bold,FF9800
Web App Development 1,Computing and Mathematics,Computing and Mathematics,"Introduce the the student to the software development lifecycle via the implementation of a simple but functional web application. In doing this, analyse & model a constrained set of user requirements. Then design, build and deploy a simple web application. Incorporate basic database, session support & server side rendering.",mdi:server,EC407A
Learning Portfolio-Flexible Semester,Computing and Mathematics,Computing and Mathematics,The purpose of the learning portfolio module is to require the student to reflect on and evaluate the experience gained from their chosen flexible semester elective and to outline their personal and professional learning and growth through a portfolio of assignments.,ph:course-bold,546E7A
Industrial Placement 1,Computing and Mathematics,Computing and Mathematics,"The purpose of this work placement module is to require the student to apply the knowledge, skills and competencies gained through the academic phase of the course through putting them into practice in a relevant workplace environment. It will provide the student with a broader skills-base on the completion of the degree.",ph:study-next-bold,455A64
Industrial Placement 2,Computing and Mathematics,Computing and Mathematics,"The purpose of this work placement module is to require the student to apply the knowledge, skills and competencies gained through the academic phase of the course through putting them into practice in a relevant workplace environment. It will provide the student with a broader skills-base on the completion of the degree.",ph:learning-bold,37474F
Professional Certification 1,Computing and Mathematics,Computing and Mathematics,"The purpose of the professional certification module is to require the student to study for a Certification exam that is of relevance to their degree and at the appropriate academic level, but not already taken by them in the course of their degree. It will provide the student with a broader skills-base on the completion of the degree.",ph:books-bold,4DD0E1
Professional Certification 2,Computing and Mathematics,Computing and Mathematics,"The purpose of the professional certification module is to require the student to study for a Certification exam that is of relevance to their degree and at the appropriate academic level, but not already taken by them in the course of their degree. It will provide the student with a broader skills-base on the completion of the degree.",ph:notebook-bold,263238
Study Abroad 1,Computing and Mathematics,Computing and Mathematics,This module will immerse students into the cultural and academic experience of living and studying abroad.,ph:document-bold,78909C
Study Abroad 2,Computing and Mathematics,Computing and Mathematics,This module will immerse students into the cultural and academic experience of living and studying abroad.,ph:catalog-bold,607D8B
Voluntary Organisation Project 1,Computing and Mathematics,Computing and Mathematics,"This module aims to allow students to experience a particular area of volunteering in Irish community. Students will choose an area of volunteering which contributes to their personal and professional development. In conjunction with the practical aspect of volunteering, on successful completion of this module students will demonstrate the ability to self-manage, self-reflect, self-evaluate and respond to constructive guidance. This module is process driven in that students are encouraged to reflect on and critique the learning process in which they are involved. The placement is a partnership between the employer, the student and the college.",mdi:clipboard-check,FFB74D
Voluntary Organisation Project 2,Computing and Mathematics,Computing and Mathematics,"This module aims to allow students to experience a particular area of volunteering in Irish community. Students will choose an area of volunteering which contributes to their personal and professional development. In conjunction with the practical aspect of volunteering, on successful completion of this module students will demonstrate the ability to self-manage, self-reflect, self-evaluate and respond to constructive guidance. This module is process driven in that students are encouraged to reflect on and critique the learning process in which they are involved. The placement is a partnership between the employer, the student and the college.",ph:workspace-bold,546E7A
Application Security,Computing and Mathematics,Computing and Mathematics,This module equips the student with knowledge of security vulnerabilities of application software taking into account both web and native applications. Methods used to solve these vulnerabilities are investigated. Intrusion Detection/Prevention Systems and Malicious Software are also presented. Students will be given a grounding in the area of Secure Software Development. This module also explores issues pertinent to Incident Response and Recovery.,ph:cognitive-bold,37474F
Automated Cloud Services,Computing and Mathematics,Computing and Mathematics,"This is a practical module that requires the student to build, configure and manage the operating system and network infrastructure required for a typical cloud application environment.",ph:concept-bold,263238
Digital Transformation of Information Systems,Computing and Mathematics,Computing and Mathematics,"This module will address the transformation of legacy approaches of enterprise applications to new ways of using digital, social and emerging technologies. The emergence of all these new technologies adds new capabilities to businesses and options for the next generation of enterprise applications. Cloud services for enterprise applications are examined in detail where students will integrate their technical knowledge and theory with practice of a cloud service to support a business system. The module will also include current relevant issues on privacy ethics and security.",logos:git,F05032
Enterprise Data Exchange and XML,Computing and Mathematics,Computing and Mathematics,"XML is one of the most popular industry formats for business document publishing, web application development and digital content management. It is also a critical part of the web environment and web standard stacks and is the basis for emerging next-generation document, web, and e-business application strategies. This course focuses upon providing the student with an understanding of the XML standard syntax and related standards and how these can be used to build enterprise applications. Important standards associated with XML, including machine-readable business information standards which support, for example, automatic data interchange (for electronic business data sharing in EDI) are also introduced. XML documents support business intelligence and other architectures and infrastructures, as well as a variety of content management systems and processes and the student is introduced to these applications. XML also provides important web data management capabilities to firms which are covered here. Finally, as a data interchange standard on the web XML provides a basis for governance and regulation in the e-business context.",mdi:layers,8D6E63
Further Statistics,Computing and Mathematics,Computing and Mathematics,"The module is designed to consolidate understanding of fundamental statistical concepts and extend knowledge and skills to probability, advanced regression techniques and inferential statistics. The student will see how these tools can be applied in an industry setting. Statistical software will be used as a modelling tool.",mdi:chart-histogram,81C784
NoSQL Databases,Computing and Mathematics,Computing and Mathematics,"This module will introduce the student to the principles and practice of designing database solutions for large volumes of either structured or unstructured data. The student will gain competence in determining the suitability of a schemaless database or a data warehouse. The student will be introduced to the concepts of data persistence, consistency and distribution in the NoSQL database context. They will gain experience in the design and implementation of a NoSQL database system for unstructured data. The module will also introduce them to the use of data warehouses for storage of large volumes of structured data.",vscode-icons:file-type-sql,00758F
Business Intelligence and Data Warehousing,Computing and Mathematics,Computing and Mathematics,"This module will introduce Business Intelligence and Data Warehousing concepts and techniques. Students will also critically analyse the theory and practice of implementing a Data Warehouse. This module will provide students with the knowledge to be able to successfully manage heterogeneous datasets and different options for integration, processing and storage. Students will investigate basic Business Intelligence tools and techniques, such as text mining,information retrieval and web content mining that would enable managers make better decisions and ultimately provide their organisation with a competitive advantage.",mdi:briefcase,FB8C00
Cloud Computing 1,Computing and Mathematics,Computing and Mathematics,"This module explores key technologies in the provision of Cloud computing services. The concepts of IaaS, PaaS, SaaS and `X aaS are covered to examine how Cloud services and applications are deployed and managed. The practical component of this module explores the operation and management of virtualised resources in Public and Private Cloud environments.",mdi:laptop,42A5F5
Network and System Security,Computing and Mathematics,Computing and Mathematics,"The objective of this module is to equip students with the necessary skills to evaluate the security of systems and networks and implement appropriate solutions. Network security is covered at all layers of the TCP/IP protocol suite and system security is considered with respect to operating system, applications, virtualisation and cloud technologies.",ph:skill-level-basic-bold,78909C
Project Management,Computing and Mathematics,Computing and Mathematics,"This module aims to provide the student with the ability to initiate, plan, execute, control and close-out the work of a team in order to achieve specific project goals and meet specific success criteria as set out by the project sponsor and organisation.",ph:skill-level-intermediate-bold,607D8B
Project 1 (Development),Computing and Mathematics,Computing and Mathematics,This module extends the student?s knowledge of software engineering with a view to equipping them for their project work in this current year (year IV) of the programme. In addition it requires the student to prepare a consolidated report on the first stage of their fourth year project in conjunction with a learning contract established between student and supervisor.,mdi:application-web,7E57C2
Project 1 (Research),Computing and Mathematics,Computing and Mathematics,"This is the capstone module for Semester one; it should bring together the student?s knowledge on all aspects of IT and utilise many facets of their previous learning, with a view to identifying a suitable research problem that is to be investigated. This module requires the student to identify a research area of interest, conduct a preliminary investigation, identify suitable research question(s), conduct a literature review and critique and select a suitable methodology to enable them to gather and analyse data. In addition, it requires the student to prepare a report on the first stage of their fourth year project in conjunction with a learning contract established between student and supervisor.",mdi:magnify,80DEEA
Business Intelligence Visualisation,Computing and Mathematics,Computing and Mathematics,"The fundamental area of Business Intelligence (BI) is the skill to effectively communicate analysis, supporting a firm?s decision makers. The aim of this module is how BI visualises and analyses a firm's data. It builds on the skills learnt in a previous module from the creation of insights from structured and unstructured data. Visualization will facilitate the understanding of data and publish required metrics and key performance indicators (KPIs) relevant to a business. The approach of this module will enable visualisation for accessing, analysing, managing and interacting with data.",mdi:chart-bubble,4DB6AC
Cloud Computing 2,Computing and Mathematics,Computing and Mathematics,This module will build on the material covered in the Cloud Computing 1 module to further explore the latest technologies in private Data Centers and Public Cloud Service providers. In particular Software Defined Networking environments and the automation and management of Cloud environments will be examined through practical lab exercises.,ph:skill-level-advanced-bold,546E7A
Computer Forensics,Computing and Mathematics,Computing and Mathematics,"This module provides the essentials of computer forensics. Students will explore the area of digital forensics through file system forensics, network/online forensics and media forensics. Students will be introduced to the different stages of the forensic process, issues relating to digital evidence and will use a selection of forensic tools.",ph:report-bold,455A64
Database Administration,Computing and Mathematics,Computing and Mathematics,"This module will provide students with the skills to be a Database Administrator (DBA) in an organisation. The module will provide students with the knowledge to be able to successfully design, create and manage a database architecture with a diverse set of tools and technologies, which will enable them to provide database services to support the database needs of different types of end users who are using heterogeneous databases.",ph:data-base-bold,37474F
IT Operations Management,Computing and Mathematics,Computing and Mathematics,This module aims to provide students with the knowledge and skills needed to manage and improve the productivity of business operations and to continuously improve the quality of service and goods produced through the use of IT systems. It will address various IT operations management frameworks that are used in industry and the different software tools that can be utilized by an IT operations manager.,ph:assembly-cluster-bold,263238
Knowledge Systems Engineering and the Semantic Web,Computing and Mathematics,Computing and Mathematics,"Sophisticated techniques are used to capture, model, discover and utilize knowledge generated within and across organisations wherever that knowledge is located in the form of data sources, pdf documents, audio, video or other digital content and formats. This knowledge-based ?semantic web?, sometimes called ?Web 4.0? or the ?Intelligent Web? is a human-machine environment which both incorporates and supersedes Web 2.0 (social web) and Web 3.0 (internet of things) systems. Using techniques unpacked in this module, software development teams define and reuse computer-based knowledge models to discover and access web services in a coherent, platform independent and integrated way. Product knowledge in Amazon?s system, R&D knowledge scattered across computers in the automative industry on an extranet system, shared digital content across a network of libraries: applications like these and the infrastructure on which they sit are now being deployed and managed by engineering knowledge-based systems using a model-driven approach. In this course the student will learn the fundamentals of these technologies and systems, appreciate how they are engineered in today?s systems development and systems management context. They will also learn how to represent knowledge using ontologies and how to access and benefit from semantic data standards on the web, and how this fits into the overall capability of an organisation?s digital systems in the emerging digital landscape.",ph:assembly-bold,78909C
Project 2 IT (Prototyping),Computing and Mathematics,Computing and Mathematics,"This module gives the student experience in developing a computing-related project based on the work the student has done in Project 1, semester 7. The student will present their work at the end of the module by submitting a final report, in addition to a poster, a short video, and a presentation/demonstration.",ph:template-bold,607D8B
Project 2 IT (Research),Computing and Mathematics,Computing and Mathematics,"This module gives the student experience in completing their research-based work. This module continues the work completed in semester 1, with a focus on data gathering and analysis, all of which will culminate in the student deriving answers to their research questions. These answers should make a solid contribution to the body of knowledge in their chosen research area.",ph:certificate-bold,546E7A
Creative Programming Fundamentals 1,Computing and Mathematics,Computing and Mathematics,"This module puts a strong emphasis on the fundamental concepts of programming whilst expressing them through a highly visual medium. It assumes no prior knowledge of technology,programming languages or programming environments.",ph:portfolio-bold,455A64
Graphic Design 1,Computing and Mathematics,Computing and Mathematics,"This module introduces the student to the core elements of Graphic Design, focusing extensively on developing creativity skills through practical work. Drawing skills are developed for the purpose of communicating ideas on paper. An understanding of composition and space is explored for effective visual communication skills. A knowledge of typography and layout structure is developed and applied. The student will gain an understanding of logo design.",ph:presentation-file-bold,37474F
Introduction to Creative Media,Computing and Mathematics,Computing and Mathematics,"This module is designed to introduce students to the history, development and integrated nature of the expanding digital media sector (internet/film/games/tv/multimedia), exploring the processes and practices required by interactive media professionals. It emphasises the cross-disciplinary focus of the course with respect to both creative multimedia and computer science.",ph:lecture-bold,263238
User Experience Design,Computing and Mathematics,Computing and Mathematics,"User Experience (UX) is a concept that has many dimensions, and it includes a variety of different disciplines?such as interaction design, visual design, usability, and human-computer interaction. This module will introduce the student to elements and tools that are essential for enhancing user satisfaction by improving motivation, usability and accessibility provided in the interaction between the user and the product in both web and non-web based interfaces. The student will engage in the various stages of the UX Design process, utilizing a variety of supportive tools to assist in the completion of the varied tasks of the UX Designer.",ph:group-presentation-bold,78909C
Creative Programming Fundamentals 2,Computing and Mathematics,Computing and Mathematics,"The purpose of this module is to further develop and enrich creativity by focusing on the creative thought processes, problem solving techniques and programming structures essential for developing systems responsible for more complex tasks underpinned by User Interface (UI) best practice. The student will further extend their knowledge by using their creativity when working with creative class libraries.",ph:forum-bold,607D8B
Digital Imaging,Computing and Mathematics,Computing and Mathematics,"This module introduces students to the different aspects of digital imaging including capturing and editing digital images using industry standard equipment and software. Students explore the creative and technical aspects of photography, editing, manipulation and compression of digital images for multimedia and web solutions.",ph:graduation-cap-bold,78909C
Mathematics for Problem Solving,Computing and Mathematics,Computing and Mathematics,"This module introduces students to problem solving techniques using algebraic, linear programming, calculus and graph theory methods. Students will experience an applied element to the module which will involve creating pseudocode for the implementation of appropriate problem solving methods.",ph:book-bold,607D8B
Pipeline Design Concepts,Computing and Mathematics,Computing and Mathematics,"This module provides the students with an introduction to the practical processes for realizing and integrating pre-production assets within the production pipeline. It exposes the student to the concepts and themes of the creative process and the interdisciplinary nature of the workflow phases. The theories and processes underlying the creative process are examined, while emphasis is placed on the practical realization of concept assets through the production of a digital animatic.",ph:course-bold,546E7A
2D Animation,Computing and Mathematics,Computing and Mathematics,"The student?s drawing skills will be developed, with an awareness of traditional animation techniques, to create 2D objects and characters in a digital environment. The Principles of Animation are introduced. The student will produce the main movements of objects and characters, and the background scenes for these animations.",ph:study-next-bold,455A64
Audio Production,Computing and Mathematics,Computing and Mathematics,"This module teaches the fundamentals of sound, sound recording and multi-track sound editing using timeline based tools. A large emphasis is placed on practical work - recording, editing, and mixing. Audio productions are created for use in media applications & trans-coded for delivery on multiple platforms.",ph:learning-bold,37474F
Graphic Design 2,Computing and Mathematics,Computing and Mathematics,"This module aims to introduce the student to the theories and design elements involved in the creation of content. The student develops an understanding of the colour and its' meaning, art movements, art mediums and concept generation for advertisements. The student will have a number of practical labs to gain understanding and experience in an art medium.",ph:notebook-bold,263238
Mathematics for Graphics and Statistics,Computing and Mathematics,Computing and Mathematics,"The module applies matrix algebra to 2D and 3D transformations - including translations, scaling, shearing, rotation and perspective. It also introduces the student to descriptive statistics with an emphasis on visually presenting data in an appropriate and informative way using traditional statistical constructs. The practical element of this module applies matrix and vector algebra to computer graphics and also, obtains visual representations of data using software.",ph:document-bold,78909C
Website Development 2,Computing and Mathematics,Computing and Mathematics,"In this module, the student will develop the core technical skills necessary for a complete understanding of client side web development. This module will examine the concepts involved in front-end user interface design and client side scripting. The module will focus on the development of dynamic interactive client side web applications. The use of client side frameworks, client side libraries and plugins will also be examined.",ph:catalog-bold,607D8B
3D Modelling Fundamentals,Computing and Mathematics,Computing and Mathematics,"This module serves as an introduction to 3D modelling and comprises an emphasis on the modelling pipeline, from concept to model creation. Students will acquire a knowledge of the craft of 3D modelling and will gain experience in producing a number of 3D models using a number of essential tools within an industry-led 3D-creation toolset.",ph:workspace-bold,546E7A
Video Production,Computing and Mathematics,Computing and Mathematics,"This module provides the student with the opportunity to apply his/her knowledge of the production pipeline. The student will learn the skills required to shoot and capture footage. Industry standard video editing software is extensively explored in the assembly, editing and application of effects to video footage and audio. The student gains an introduction to post production software, to edit and enhance a completed video asset.",ph:cognitive-bold,37474F
3D Animation Practice,Computing and Mathematics,Computing and Mathematics,The purpose of this module is to give a student the practical knowledge to prepare 3D Model and audio digital assets for use in rendered 3D animated scenes and to be able to appreciate the theory and practice of 3D animation techniques.,ph:concept-bold,263238
Digital Graphic Design,Computing and Mathematics,Computing and Mathematics,"This module introduces the student to vector-based illustration software. Students will produce high-quality artwork for both screen and print, and will gain an understanding of the limitations of printing methods for various print media. This module also introduces the student to industry-standard publishing applications for interactive PDF documents, digital magazines, and EPUBs.",ph:skill-level-basic-bold,78909C
Multimedia Networks,Computing and Mathematics,Computing and Mathematics,"This module introduces Computer Networking terminology and concepts, and examines various network protocols and models. Students will use protocol analysis software to explore various network protocol operations. TCP/IP and IP addressing are presented as well as an exploration of real-time Multimedia applications and protocols. Quality of Service (QoS) is also discussed and a brief examination of resource management is also provided. Practical skills are an essential part of this module.",ph:skill-level-intermediate-bold,607D8B
Software Engineering,Computing and Mathematics,Computing and Mathematics,The objective of this module is to provide students with the understanding of techniques and methods used to develop reliable quality software. Students will also research and experiment with various tools in order to gain an insight into how they can be utilised in the software engineering process.,mdi:flask,84FFFF
Web App Development 2,Computing and Mathematics,Computing and Mathematics,"This module approaches web application development from an apps and services perspective, as opposed to the monolithic, server-side rendering model. Services will be formulated as REST APIs (Representational State Transfer Application Program Interface), while multiple service consumer forms will be considered, including Single Page Apps (SPA) and other services. The principles and patterns underpinning the design of both components (SPA and REST API ) will be examined as well as the fine-grained aspects of the underlying communication protocol. Their will be an emphasis on development, including the use of application frameworks, workflow automation tools and cloud deployment platforms. The module's scope will also encompass the techical aspects of both realtime API communication and isomorphic web apps.",mdi:api,7E57C2
Computer Security,Computing and Mathematics,Computing and Mathematics,"This module provides the essentials of computer security. Topics covered include the various security threats and vulnerabilities and the services available to address these threats. Cryptographic foundations that underpin many security mechanisms are covered. Issues relating to network and application security, including web applications, are also explored. Best practice in secure programming is also covered.",ph:skill-level-advanced-bold,546E7A
Data Visualisation,Computing and Mathematics,Computing and Mathematics,"This module will expose the learner to statistical and other methods that will enable them to create a variety of visualisations from different types of data, using both traditional and contemporary methods. Issues pertaining to the collection of data will be presented as will cautions on the potential for statistics to mislead. A basic introduction to the statistical tools used in data analytics is also given.",mdi:chart-line,FF8A65
Software Development Tools,Computing and Mathematics,Computing and Mathematics,"The purpose of this module is to further develop programming skills through the study of a programming language with an emphasis on the use of software development toolsets. This module, through the creation of a diverse portfolio of projects, will focus on developing well-designed, maintainable and robust applications that are consistent with software development best practice.",ph:report-bold,455A64
3D Lighting and Rendering,Computing and Mathematics,Computing and Mathematics,"This module looks at the lighting and rendering components of the 3D digital animation pipeline. The module will encompass materials editing, lighting and shadows, and rendering using an industry-standard rendering engine. Students will have the opportunity to explore advanced techniques and effects that may be used to light and render complex 3D scenes and, using pre-existing scene assets, and to produce a photo-realistic and production-quality rendered scene.",ph:data-base-bold,37474F
Advanced Media Productions,Computing and Mathematics,Computing and Mathematics,This module provides the student with the opportunity to apply his/her knowledge of the pre-production and production process whilst learning and utilizing the necessary skillset to work in a post production environment. The student will be required to use an industry standard asset management tool for his/her work during the duration of the module.,ph:assembly-cluster-bold,263238
Instructional Design,Computing and Mathematics,Computing and Mathematics,Instructional Design is the analysis of how people learn and the systematic development of instruction. This module introduces students to the core fundamentals of learning theories as a pre-requisite to designing effective e-learning solutions. This module focuses upon theories of learning and their practical implications in the design of effective blended and technical solutions in training and instruction.,ph:assembly-bold,78909C
Integrated Marketing,Computing and Mathematics,Computing and Mathematics,The aim of this module is to demonstrate how companies apply marketing concepts and strategy in high technology industries.,ph:template-bold,607D8B
Mobile App Development 1,Computing and Mathematics,Computing and Mathematics,"Design, build and deploy a multi-screen mobile application incorporating an intuitive and efficient navigation mechanism. Structure the implementation using accepted best-practice with respect to patterns, frameworks and tools. Incorporate localised persistence models + simple access to remote services. Introduce context services such as location/camera and/or other sensor access.",ph:certificate-bold,546E7A
Multimedia Databases,Computing and Mathematics,Computing and Mathematics,"This module will introduce the student to the principles and practice of designing distributed and object-oriented databases. The student will gain an understanding of multimedia database concepts, the architecture and design of a multimedia database. This module will also examine the procedures involved in the management and mining of multimedia databases.",ph:portfolio-bold,455A64
3D Animation and Transmedia,Computing and Mathematics,Computing and Mathematics,"This module provides the foundation for advanced animation construction and integration with external media, as well as techniques to automate and optimize development processes. Students will learn advanced rigging and animation techniques such as Facial Animation, Visual Effects and Motion Capture. In addition, students will be introduced to productivity, management and optimization techniques using asset management services, scripting and expressions.",mdi:delivery,673AB7
Advanced Graphic Design,Computing and Mathematics,Computing and Mathematics,"This module formulates an appreciation of graphic design through the study of historical influences, styles and culture. The student gains an in-depth knowledge of graphic and visual interpretation to develop a fluency in visual and textual problem solving to the provision of solutions for multiple mediums.",ph:presentation-file-bold,37474F
Project 2 (Development),Computing and Mathematics,Computing and Mathematics,"This module gives the student experience in developing a computing-related project by creating a product or a good prototpye for a product. The student will present their work at the end of the module by submitting a final report, in addition to a poster, a short video, and a demonstration.",ph:lecture-bold,263238
Project 2 (Research),Computing and Mathematics,Computing and Mathematics,"This module gives the student experience in developing a computing-related project by undertaking research, based on the work the student has completed in Project 1, semester 7. The student will present their work at the end of the module by submitting a dissertation, in addition to a poster, a short video, and a presentation.",ph:group-presentation-bold,78909C
eLearning,Computing and Mathematics,Computing and Mathematics,"This module is concerned with the authoring of instructionally sound, accessible eLearning for different platforms. This can, for example, be a single part of a course, or all of a course whether it is in an academic environment, part of mandatory business training or a full distance learning course.",ph:forum-bold,607D8B
Introduction to Software Engineering,Computing and Mathematics,Computing and Mathematics,The objective of this module is to provide students with the understanding of techniques and methods used to develop reliable quality software.,ph:graduation-cap-bold,78909C
French Intermediate 1 (B1.1),Computing and Mathematics,Computing and Mathematics,To facilitate students' language learning to meet an Intermediate level commensurate with CEFR B1.1,ph:book-bold,607D8B
German Intermediate 1(B1.1),Computing and Mathematics,Computing and Mathematics,"This module aims to enable students to speak, write, listen and read German to level B1.1 of the Common European Framework Reference(CEFR) for Languages.",ph:course-bold,546E7A
Introduction to Psychology,Computing and Mathematics,Computing and Mathematics,"This module aims to: Develop an appreciation of how psychology can be used to understand human behaviour. It will introduce students to the main theories, concepts and ideas used within psychology and provide an overview of the different areas of psychology and their relationship to human behaviour.",ph:study-next-bold,455A64
Data Structures and Algorithms 1,Computing and Mathematics,Computing and Mathematics,"Implement, from first principles, custom and general purpose data structures and algorithms that are efficient, thread safe, and robustly tested and validated.",ri:flow-chart,9575CD
